,Brand,Model,Model_year,Transmission,Engine_size(cc),Drivetrain,Fuel_type,Lot_no,Kilometer,Price
770,Hyundai,i10,2011, Automatic,1200,2, Petrol,9,30000,1750000
771,Hyundai,i10,2009, Manual,1200,2, Petrol,7,28000,1450000
772,Hyundai,tucson,2009, Manual,2000,4, Diesel,1,49000,3700000
773,Hyundai,tucson,2009, Manual,2000,4, Diesel,12,36195,3250000
774,Hyundai,santro,2000, Manual,1000,2, Petrol,3,50000,675000
775,Hyundai,i20,2004, Manual,1500,2, Diesel,5,81000,800000
776,Hyundai,santro,2009, Manual,1100,2, Petrol,7,350000,1375000
777,Hyundai,i10,2008, Manual,1200,2, Petrol,6,35000,1225000
778,Hyundai,santro,2001, Manual,1100,2, Petrol,3,57000,750000
779,Hyundai,santro,2007, Manual,1000,2, Petrol,6,50000,925000
780,Hyundai,i10,2009, Manual,1200,2, Petrol,9,42000,1315000
781,Hyundai,tucson,2006, Manual,2000,4, Diesel,5,32000,2700000
782,Hyundai,eon,2014, Manual,800,2, Petrol,13,16000,1765000
783,Hyundai,santro,2003, Manual,1100,2, Petrol,4,85000,700000
784,Hyundai,asta,2010, Manual,1200,2, Petrol,8,32000,1825000
785,Hyundai,santro,2007, Manual,1200,2, Petrol,6,40000,1150000
786,Hyundai,santro,2005, Manual,1100,2, Petrol,9,43000,1050000
787,Hyundai,santro,2005, Manual,1200,2, Petrol,5,52000,925000
788,Hyundai,santro,2009, Manual,1200,2, Petrol,7,34000,1250000
789,Hyundai,eon,2014, Manual,800,2, Petrol,12,7000,170000
790,Hyundai,i20,2012, Manual,1200,4, Petrol,9,14135,2300000
791,Hyundai,tucson,2009, Manual,2000,4, Diesel,7,44000,3400000
792,Hyundai,i10,2011, Manual,1200,2, Petrol,9,32000,1625000
793,Hyundai,santro,2010, Manual,1100,2, Petrol,8,24000,1375000
794,Hyundai,eon,2012, Manual,800,2, Petrol,10,14000,1375000
795,Hyundai,santro,2007, Manual,1100,2, Petrol,6,32000,1200000
796,Hyundai,santro,2009, Manual,1100,2, Petrol,7,35000,1225000
797,Hyundai,asta,2010, Manual,1200,2, Petrol,8,32000,1850000
798,Hyundai,santro,2006, Manual,1100,2, Petrol,5,35000,950000
799,Hyundai,asta,2010, Manual,1200,2, Petrol,7,43000,1849000
800,Hyundai,getz,2005, Manual,1300,2, Petrol,5,34000,1025000
801,Hyundai,i10,2012, Manual,1200,2, Petrol,10,15000,1650000
802,Hyundai,santro,2002, Manual,1100,2, Petrol,12,78000,750000
803,Hyundai,i10,2010, Manual,1100,2, Petrol,8,31000,1375000
804,Hyundai,eon,2013, Manual,800,2, Petrol,10,12000,1425000
805,Hyundai,i10,2009, Manual,1200,2, Petrol,7,32000,1375000
806,Hyundai,i10,2011, Manual,1200,2, Petrol,9,30000,1625000
807,Hyundai,santro,2003, Manual,1100,2, Petrol,4,46000,785000
808,Hyundai,santro,2003, Manual,1100,2, Petrol,5,59336,800000
809,Hyundai,i10,2010, Manual,1200,2, Petrol,8,18000,1450000
810,Hyundai,i10,2010, Manual,1200,2, Petrol,9,26000,1625000
811,Hyundai,tucson,2002, Manual,2000,4, Petrol,4,63100,1450000
812,Hyundai,tucson,2008, Manual,2000,4, Diesel,6,34000,3250000
813,Hyundai,eon,2012, Manual,800,2, Petrol,10,35000,1325000
814,Hyundai,asta,2012, Manual,1200,2, Petrol,7,37000,1530000
815,Hyundai,i10,2011, Manual,1100,2, Petrol,9,22000,1650000
816,Hyundai,santro,2009, Manual,1100,2, Petrol,7,37000,1235000
817,Hyundai,santro,2008, Manual,1000,2, Petrol,8,74000,1000000
818,Hyundai,santro,2006, Manual,1100,2, Petrol,5,70000,975000
819,Hyundai,santro,2007, Manual,1100,2, Petrol,6,47000,1140000
820,Hyundai,santro,2008, Manual,1100,2, Petrol,12,37000,1275000
821,Hyundai,i10,2011, Manual,1200,2, Petrol,9,16630,1950000
822,Hyundai,i10,2012, Manual,1200,2, Petrol,9,11000,1875000
823,Hyundai,santro,2007, Manual,1100,2, Petrol,12,42000,1175000
824,Hyundai,santro,2007, Manual,1100,2, Petrol,1,65000,850000
825,Hyundai,eon,2012, Manual,800,2, Petrol,10,23000,1425000
826,Hyundai,i10,2011, Manual,1200,2, Petrol,11,27000,1750000
827,Hyundai,i10,2011, Manual,1100,2, Petrol,9,23000,1625000
828,Hyundai,santro,2007, Manual,1100,2, Petrol,6,37000,1195000
829,Hyundai,i10,2011, Manual,1200,2, Petrol,9,23000,1775000
830,Hyundai,i10,2009, Manual,1200,2, Petrol,6,35000,1450000
831,Hyundai,eon,2013, Manual,800,2, Petrol,10,11000,1475000
832,Hyundai,i10,2011, Manual,1200,2, Petrol,9,23000,1825000
833,Hyundai,santro,2000, Manual,1000,2, Petrol,3,75000,650000
834,Hyundai,i20,2011, Manual,1400,2, Diesel,11,17000,1950000
835,Hyundai,i10,2010, Manual,1200,2, Petrol,9,26000,1625000
836,Hyundai,santro,2007, Manual,1100,2, Petrol,5,57000,1150000
837,Hyundai,i10,2010, Manual,1200,2, Petrol,8,36000,1550000
838,Hyundai,tucson,2005, Manual,2000,2, Diesel,5,43000,2550000
839,Hyundai,i10,2009, Manual,1200,2, Petrol,7,31000,1395000
840,Hyundai,elantra,2013, Manual,1600,2, Petrol,11,12000,4800000
841,Hyundai,i10,2008, Manual,1100,2, Petrol,6,35000,1250000
842,Hyundai,eon,2012, Manual,800,2, Petrol,11,12500,1425000
843,Hyundai,santro,2008, Manual,1100,2, Petrol,6,30000,1265000
844,Hyundai,santro,2010, Manual,1100,2, Petrol,8,25000,1290000
845,Hyundai,i10,2013, Manual,1200,2, Petrol,11,17000,1775000
846,Hyundai,tucson,2009, Manual,2000,4, Diesel,7,41000,3450000
847,Hyundai,eon,2013, Manual,800,2, Petrol,12,16000,1460000
848,Hyundai,santro,2000, Manual,1100,2, Petrol,3,95000,650000
849,Hyundai,getz,2007, Manual,1400,2, Petrol,6,60000,1050000
850,Hyundai,santro,2009, Manual,1100,2, Petrol,7,36000,1225000
851,Hyundai,i10,2010, Manual,1200,2, Petrol,8,33000,1575000
852,Hyundai,asta,2010, Manual,1200,2, Petrol,7,55000,1875000
853,Hyundai,i10,2010, Manual,1200,2, Petrol,8,31800,1625000
854,Hyundai,santro,2010, Manual,1100,2, Petrol,8,37000,1390000
855,Hyundai,santro,2006, Manual,1100,2, Petrol,5,65000,900000
856,Hyundai,getz,2005, Manual,1300,2, Petrol,5,35000,1425000
857,Hyundai,i10,2014, Manual,1200,2, Petrol,11,6660,2250000
858,Hyundai,getz,2008, Manual,1300,2, Petrol,6,34000,1300000
859,Hyundai,elantra,2013, Manual,1600,2, Petrol,12,12000,5000000
860,Hyundai,asta,2014, Manual,1200,2, Petrol,12,3500,2499000
861,Hyundai,i10,2009, Manual,1200,2, Petrol,7,34000,1375000
862,Hyundai,getz,2007, Manual,1400,2, Petrol,5,30000,1550000
863,Hyundai,santro,2014, Manual,1100,2, Petrol,11,9000,1425000
864,Hyundai,santro,2010, Manual,1100,2, Petrol,8,53000,1340000
865,Hyundai,i10,2011, Manual,1200,2, Petrol,9,26000,1700000
866,Hyundai,i20,2010, Manual,1200,2, Petrol,10,27000,1899999
867,Hyundai,tucson,2008, Manual,2000,4, Diesel,6,37000,3300000
868,Hyundai,santro,2007, Manual,1000,2, Petrol,1,45000,850000
869,Hyundai,i10,2010, Manual,1200,2, Petrol,7,25000,1475000
870,Hyundai,asta,2007, Manual,1500,2, Diesel,9,20000,1650000
871,Hyundai,eon,2012, Manual,800,2, Petrol,9,24000,1250000
872,Hyundai,i10,2013, Manual,1200,2, Petrol,10,22000,1900000
873,Hyundai,santro,2003, Manual,1000,2, Petrol,4,35000,750000
874,Hyundai,santro,2009, Manual,1100,2, Petrol,7,19000,1325000
875,Hyundai,santro,2008, Manual,1100,2, Petrol,6,39000,1225000
876,Hyundai,i10,2012, Manual,1200,2, Petrol,10,15000,1725000
877,Hyundai,i10,2013, Manual,1100,2, Petrol,10,15000,1950000
878,Hyundai,asta,2009, Manual,1500,2, Diesel,9,40000,1850000
879,Hyundai,eon,2013, Manual,800,2, Petrol,10,9500,1525000
880,Hyundai,santro,2012, Manual,1100,2, Petrol,10,3700,1575000
881,Hyundai,asta,2010, Manual,1200,2, Petrol,8,32000,1990000
882,Hyundai,i10,2009, Manual,1200,2, Petrol,7,27000,1380000
883,Hyundai,eon,2012, Manual,800,2, Petrol,9,18000,1325000
884,Hyundai,santro,2007, Manual,1100,2, Petrol,6,38000,1150000
885,Hyundai,asta,2013, Manual,1200,2, Petrol,11,9000,2350000
886,Hyundai,santro,2006, Manual,1000,2, Petrol,6,45000,850000
887,Hyundai,tucson,2004, Manual,2000,4, Diesel,12,51000,2450000
888,Hyundai,i10,2009, Manual,1200,2, Petrol,7,24500,1550000
889,Hyundai,i10,2009, Manual,1200,2, Petrol,7,35000,1440000
890,Hyundai,getz,2008, Manual,1400,2, Petrol,6,58000,1450000
891,Hyundai,asta,2010, Manual,1200,2, Petrol,10,18000,2050000
892,Hyundai,santro,2007, Manual,1000,2, Petrol,6,80000,1000000
893,Hyundai,i10,2013, Manual,1200,2, Petrol,11,6700,2325000
894,Hyundai,santro,2005, Manual,1000,2, Petrol,5,80000,102500
895,Hyundai,santro,2006, Manual,1100,2, Petrol,5,35000,1050000
896,Hyundai,eon,2014, Manual,800,2, Petrol,12,1200,1700000
897,Hyundai,santro,2009, Manual,1100,2, Petrol,7,27050,1350000
898,Hyundai,i10,2010, Manual,1200,2, Petrol,10,30000,1575000
899,Hyundai,asta,2010, Manual,1200,2, Petrol,10,35000,1875000
900,Hyundai,i20,2010, Manual,1200,2, Petrol,10,38000,1725000
901,Hyundai,i10,2009, Manual,1100,2, Petrol,7,80000,1400000
902,Hyundai,i10,2009, Manual,1200,2, Petrol,9,40000,1425000
903,Hyundai,asta,2009, Manual,1200,2, Petrol,7,105000,1900000
904,Hyundai,asta,2005, Manual,1500,2, Diesel,5,58000,1450000
905,Hyundai,i10,2011, Manual,1200,2, Petrol,9,19000,1775000
906,Hyundai,santro,2009, Manual,1100,2, Petrol,9,29000,1240000
907,Hyundai,santro,2007, Manual,1100,2, Petrol,6,32000,1170000
908,Hyundai,i10,2010, Manual,1200,2, Petrol,9,40000,1515000
909,Hyundai,accent,2009, Manual,1400,2, Petrol,9,31000,1690000
910,Hyundai,i20,2003, Manual,1500,2, Petrol,5,74000,950000
911,Hyundai,getz,2005, Manual,1300,2, Petrol,5,62000,1050000
912,Hyundai,asta,2010, Manual,1200,2, Petrol,10,23000,2050000
913,Hyundai,santro,2007, Manual,1100,2, Petrol,5,36000,1150000
914,Hyundai,accent,2007, Manual,1600,2, Petrol,6,28000,1850000
915,Hyundai,santro,2004, Manual,1100,2, Petrol,4,57000,1000000
916,Hyundai,i10,2009, Manual,1100,2, Petrol,7,23000,1450000
917,Hyundai,i10,2009, Manual,1200,2, Petrol,7,25000,1425000
918,Hyundai,tucson,2009, Manual,2000,2, Diesel,7,42000,3500000
919,Hyundai,tucson,2012, Manual,2000,4, Diesel,10,24000,5600000
920,Hyundai,asta,2010, Manual,1200,2, Petrol,10,12700,2100000
921,Hyundai,santro,2000, Manual,1100,2, Petrol,3,57000,700000
922,Hyundai,getz,2008, Automatic,1400,2, Petrol,7,67000,1350000
923,Hyundai,i10,2011, Manual,1200,2, Petrol,11,25800,1650000
924,Hyundai,santro,2008, Manual,1000,2, Petrol,2,37500,1190000
925,Hyundai,santro,2009, Manual,1100,2, Petrol,7,37000,1250000
